Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance
.4740E+03 .2095E+01 .1643E+01 .2689E+00 .1825E+01
.4750E+03 .2117E+01 .1661E+01 .2700E+00 .1843E+01
.4760E+03 .2059E+01 .1616E+01 .2610E+00 .1791E+01
.4770E+03 .2068E+01 .1624E+01 .2606E+00 .1798E+01
.4780E+03 .2122E+01 .1668E+01 .2663E+00 .1846E+01
.4790E+03 .2104E+01 .1657E+01 .2630E+00 .1832E+01
.4800E+03 .2103E+01 .1658E+01 .2618E+00 .1833E+01
.4810E+03 .2136E+01 .1688E+01 .2650E+00 .1864E+01
.4820E+03 .2141E+01 .1695E+01 .2648E+00 .1870E+01
.4830E+03 .2109E+01 .1673E+01 .2600E+00 .1845E+01
.4840E+03 .2063E+01 .1639E+01 .2533E+00 .1806E+01
.4850E+03 .1963E+01 .1562E+01 .2400E+00 .1719E+01
.4860E+03 .1713E+01 .1365E+01 .2086E+00 .1501E+01
.4870E+03 .1792E+01 .1430E+01 .2174E+00 .1572E+01
.4880E+03 .1966E+01 .1570E+01 .2373E+00 .1724E+01
.4890E+03 .1974E+01 .1577E+01 .2369E+00 .1730E+01
.4900E+03 .2073E+01 .1658E+01 .2479E+00 .1819E+01
.4910E+03 .2034E+01 .1630E+01 .2425E+00 .1786E+01
.4920E+03 .1920E+01 .1540E+01 .2279E+00 .1686E+01
.4930E+03 .1982E+01 .1591E+01 .2342E+00 .1741E+01
.4940E+03 .2001E+01 .1608E+01 .2353E+00 .1758E+01
.4950E+03 .2017E+01 .1622E+01 .2362E+00 .1772E+01
.4960E+03 .2029E+01 .1633E+01 .2365E+00 .1783E+01
.4970E+03 .2060E+01 .1659E+01 .2391E+00 .1811E+01
.4980E+03 .1963E+01 .1583E+01 .2269E+00 .1726E+01
.4990E+03 .1989E+01 .1604E+01 .2288E+00 .1748E+01
.5000E+03 .1933E+01 .1560E+01 .2220E+00 .1699E+01
.5010E+03 .1900E+01 .1533E+01 .2170E+00 .1669E+01
.5020E+03 .1879E+01 .1515E+01 .2132E+00 .1648E+01
.5030E+03 .1962E+01 .1581E+01 .2212E+00 .1719E+01
.5040E+03 .1934E+01 .1554E+01 .2156E+00 .1687E+01
.5050E+03 .1984E+01 .1600E+01 .2214E+00 .1737E+01
.5060E+03 .2049E+01 .1654E+01 .2277E+00 .1794E+01
.5070E+03 .1949E+01 .1575E+01 .2159E+00 .1707E+01
.5080E+03 .1882E+01 .1524E+01 .2082E+00 .1651E+01
.5090E+03 .1930E+01 .1565E+01 .2129E+00 .1695E+01
.5100E+03 .1916E+01 .1556E+01 .2107E+00 .1684E+01
.5110E+03 .1963E+01 .1596E+01 .2153E+00 .1727E+01
.5120E+03 .1982E+01 .1613E+01 .2168E+00 .1745E+01
.5130E+03 .1875E+01 .1528E+01 .2046E+00 .1652E+01
.5140E+03 .1860E+01 .1517E+01 .2024E+00 .1639E+01
.5150E+03 .1841E+01 .1503E+01 .1997E+00 .1623E+01
.5160E+03 .1837E+01 .1501E+01 .1985E+00 .1620E+01
.5170E+03 .1631E+01 .1334E+01 .1757E+00 .1439E+01
.5180E+03 .1715E+01 .1403E+01 .1841E+00 .1513E+01
.5190E+03 .1799E+01 .1473E+01 .1924E+00 .1587E+01
.5200E+03 .1865E+01 .1527E+01 .1987E+00 .1645E+01
.5210E+03 .1883E+01 .1543E+01 .1998E+00 .1661E+01
